pair,window,regression_window,trend_strength,vol_threshold,OutOfSample_Start,OutOfSample_End,OutOfSample_Period,OutOfSample_Start Value,OutOfSample_End Value,OutOfSample_Total Return [%],OutOfSample_Benchmark Return [%],OutOfSample_Max Gross Exposure [%],OutOfSample_Total Fees Paid,OutOfSample_Max Drawdown [%],OutOfSample_Max Drawdown Duration,OutOfSample_Total Trades,OutOfSample_Total Closed Trades,OutOfSample_Total Open Trades,OutOfSample_Open Trade PnL,OutOfSample_Win Rate [%],OutOfSample_Best Trade [%],OutOfSample_Worst Trade [%],OutOfSample_Avg Winning Trade [%],OutOfSample_Avg Losing Trade [%],OutOfSample_Avg Winning Trade Duration,OutOfSample_Avg Losing Trade Duration,OutOfSample_Profit Factor,OutOfSample_Expectancy,OutOfSample_Sharpe Ratio,OutOfSample_Calmar Ratio,OutOfSample_Omega Ratio,OutOfSample_Sortino Ratio
BTCUSDT_2020-2025_trend_following,1,8,0.422,0.422,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000001203,149 days 15:00:00,100000.0,134925.6245023172,34.92562450231719,109.37531076392935,100.0,13870.371734943958,14.593065696152996,31 days 06:00:00,107,107,0,0.0,42.99065420560748,8.912742260732571,-4.72068026875812,2.4817185950902028,-1.3248078668346563,0 days 10:53:28.695652173,0 days 06:02:57.049180327,1.32733528310553,326.4077056291327,1.8367177416771863,7.377596847701519,1.2137808064573763,3.11302028988479
BTCUSDT_2020-2025_trend_following,2,8,0.1,0.1,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000001203,149 days 15:00:00,100000.0,99434.03923397456,-0.5659607660254405,28.522839221641426,100.0,7016.804858300199,19.290236297025942,140 days 09:00:00,80,80,0,0.0,45.0,11.666122364560668,-12.307134085629299,1.934337389054842,-1.5154662462451214,0 days 14:05:00,0 days 07:42:16.363636363,0.9906807016587731,-7.07450957531762,0.1715593906891875,-0.07127977565597272,1.0202620593415426,0.25799487857038295
BTCUSDT_2020-2025_trend_following,3,6,0.422,0.1,1970-01-01 00:00:00.000000005,1970-01-01 00:00:00.000001203,149 days 21:00:00,100000.0,88502.57887881885,-11.49742112118115,-31.944182190642866,100.0,9705.410877143075,31.031032242744537,148 days 06:00:00,114,114,0,0.0,37.719298245614034,10.57776324385797,-7.7509805169684585,1.9175881628276694,-1.2839534257371918,0 days 10:48:50.232558139,0 days 07:28:43.943661971,0.8545595691099791,-100.85457123843105,-0.5958457775260595,-0.8291423522746837,0.9368518122888652,-0.9466332284228934
BTCUSDT_2020-2025_trend_following,4,12,0.744,1.711,1970-01-01 00:00:00.000000011,1970-01-01 00:00:00.000001203,149 days 03:00:00,100000.0,86433.71712725771,-13.566282872742288,-38.62765658167305,100.0,2840.6692047072875,16.236207549853678,112 days 06:00:00,30,30,0,0.0,40.0,5.865675528182736,-7.671235534813145,1.972955398229295,-2.05844061288775,0 days 11:30:00,0 days 07:10:00,0.6206444516986866,-452.2094290914106,-1.5902595422401498,-1.848446397603869,0.7269720110048036,-1.9242906559617707
BTCUSDT_2020-2025_trend_following,5,12,1.389,0.422,1970-01-01 00:00:00.000000011,1970-01-01 00:00:00.000001203,149 days 03:00:00,100000.0,93031.02382000128,-6.968976179998718,-29.463857806671946,100.0,7773.545665665068,12.062158213840704,102 days 15:00:00,80,80,0,0.0,36.25,6.021171383879822,-5.776161628266345,1.2329687360990402,-0.8233320012856291,0 days 09:18:37.241379310,0 days 06:17:38.823529411,0.8310046863856739,-87.11220224998357,-0.5828874953765177,-1.3435385026007953,0.9169823482623366,-0.7902385230256452
BTCUSDT_2020-2025_trend_following,6,10,0.744,1.389,1970-01-01 00:00:00.000000009,1970-01-01 00:00:00.000001203,149 days 09:00:00,100000.0,128005.99901042329,28.005999010423288,56.3733643501011,100.0,6478.984971056009,11.033738615572753,48 days 06:00:00,54,54,0,0.0,42.592592592592595,16.187959268155335,-3.7885329616179013,2.3538066723174977,-0.8771492956499611,0 days 11:44:20.869565217,0 days 06:11:36.774193548,1.8405150844547522,518.6296113041346,2.3531510899040757,7.505884072404032,1.488082524474593,4.418382127732304
BTCUSDT_2020-2025_trend_following,7,10,1.067,1.711,1970-01-01 00:00:00.000000009,1970-01-01 00:00:00.000001203,149 days 09:00:00,100000.0,106122.69044756393,6.122690447563931,32.46245542998707,100.0,3963.6086860546243,17.270144512635287,124 days 06:00:00,40,40,0,0.0,27.500000000000004,11.759267341533567,-2.235672585654638,2.9314864679057773,-0.8617759594284023,0 days 15:16:21.818181818,0 days 09:00:00,1.2484511787244044,153.06726118909864,0.9024148528634852,0.9049115967604167,1.1567608243022183,1.6605920029488312
BTCUSDT_2020-2025_trend_following,8,16,1.711,0.744,1970-01-01 00:00:00.000000015,1970-01-01 00:00:00.000001203,148 days 15:00:00,100000.0,124167.3432806983,24.167343280698304,88.53084218783407,100.0,5547.5468343448465,5.172784443546366,30 days 06:00:00,50,50,0,0.0,50.0,9.277516321330259,-1.9541313559322069,1.7276378919783337,-0.8236168892699547,0 days 14:52:48,0 days 05:38:24,2.055607019855677,483.3468656139637,2.7263650418667806,13.564061462226014,1.4383831210652716,4.686103553114571
BTCUSDT_2020-2025_trend_following,9,16,1.711,0.1,1970-01-01 00:00:00.000000015,1970-01-01 00:00:00.000001203,148 days 15:00:00,100000.0,98575.12920696287,-1.4248707930371312,-12.284778909412585,100.0,7757.412530470164,16.00831545050056,113 days 06:00:00,83,83,0,0.0,39.75903614457831,9.274444702422409,-5.386691856647068,1.422513939404039,-0.93790908734684,0 days 07:54:32.727272727,0 days 05:42:00,0.9684255147223663,-17.16711798839833,-0.00732083515291723,-0.2163279898575009,0.9988684855081853,-0.012053404200648992
BTCUSDT_2020-2025_trend_following,10,22,0.1,0.1,1970-01-01 00:00:00.000000021,1970-01-01 00:00:00.000001203,147 days 21:00:00,100000.0,151504.5933875208,51.50459338752081,78.14770101783913,100.0,8349.905738296386,8.52023617118922,26 days 00:00:00,69,69,0,0.0,49.275362318840585,9.032303222827938,-2.535978507714267,1.9394919451231538,-0.653858025610472,0 days 18:26:28.235294117,0 days 09:41:08.571428571,2.870352811318135,746.4433824278381,3.9283860805349904,20.989282195466753,1.4759929594310293,6.839205466710787
